                27cenai.out                                         2007/03/15

 EXTRA OUTPUT FILE.  REQUIRED AS INPUT FILE FOR CASC




  Saga (N) 6407/2-3                       

 WELL #  1 WITH  60 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

 63  62.00000  10.05576   0.17354
 64  63.00000  10.45912   0.17296
 65  64.00000  10.87280   0.17172
 66  65.00000  11.29680   0.16982
 67  66.00000  11.73111   0.16727
 68  67.00000  12.17574   0.16410
 69  68.00000  12.63069   0.16037
 70  69.00000  13.09595   0.15615
 71  70.00000  13.57152   0.15158
 72  71.00000  14.05742   0.14680
 73  72.00000  14.55363   0.14203
 74  73.00000  15.06015   0.13754
 75  74.00000  15.57699   0.13368
 76  75.00000  16.10415   0.13086
 77  76.00000  16.64163   0.12953
 78  77.00000  17.18942   0.13018
 79  78.00000  17.74752   0.13322
 80  79.00000  18.31594   0.13896
 81  80.00000  18.89468   0.14756
 82  81.00000  19.48374   0.15901
 83  82.00000  20.08311   0.17321
 84  83.00000  20.69280   0.18996
 85  84.00000  21.31280   0.20908
 86  85.00000  21.94312   0.23038
 87  86.00000  22.58375   0.25367
 88  87.00000  23.23470   0.27883
 89  88.00000  23.89597   0.30574
 90  89.00000  24.56756   0.33431
 91  90.00000  25.24946   0.36445
 92  91.00000  25.94167   0.39611
 93  92.00000  26.64421   0.42924
 94  93.00000  27.35705   0.46381
 95  94.00000  28.08022   0.49977
 96  95.00000  28.81370   0.53710
 97  96.00000  29.55750   0.57579
 98  97.00000  30.31161   0.61581



  6407/7A-1                               

 WELL #  8 WITH  12 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000   2.10067   0.92591
  2   1.00000   2.03753   0.68113
  3   2.00000   2.02329   0.48332
  4   3.00000   2.05795   0.34508
  5   4.00000   2.14150   0.28347
  6   5.00000   2.27394   0.29078
  7   6.00000   2.45529   0.32557
  8   7.00000   2.68552   0.35522
  9   8.00000   2.96466   0.36576
 10   9.00000   3.29269   0.35306
 11  10.00000   3.66961   0.31909
 12  11.00000   4.09544   0.27475
 13  12.00000   4.57015   0.25111
 14  13.00000   5.09377   0.29846
 15  14.00000   5.66628   0.43047
